Date,Year,Month,Monthly_Confirmed_Cases
2020-01-01,2020,1,2.0
2020-02-01,2020,2,0.0
2020-03-01,2020,3,21588.0
2020-04-01,2020,4,136833.0
2020-05-01,2020,5,173359.0
2020-06-01,2020,6,109004.0
2020-07-01,2020,7,212184.0
2020-08-01,2020,8,252234.0
2020-09-01,2020,9,151607.0
