Date,Year,Month,Monthly_Confirmed_Cases
2020-01-01,2020,1,0.0
2020-02-01,2020,2,1.0
2020-03-01,2020,3,10506.0
2020-04-01,2020,4,89251.0
2020-05-01,2020,5,58471.0
2020-06-01,2020,6,20513.0
2020-07-01,2020,7,15475.0
2020-08-01,2020,8,16743.0
2020-09-01,2020,9,9674.0
