,date,daily_state_test,precipitation,temperature,total_population,female_percent,area,population_density,latitude,longitude,hospital_beds_ratio,ventilator_capacity_ratio,icu_beds_ratio,houses_density,less_than_high_school_diploma,percent_smokers,percent_diabetes,Religious_congregation_ratio,political_party,airport_distance,passenger_load_ratio,meat_plants,median_household_income,percent_insured,gdp_per_capita,immigrant_student_ratio,weekend,confirmed,death
0,2020-01-22,-1.1879112847325914,-0.6843048858255976,-1.9330046500036584,-2.9103830456733704e-11,2.220446049250313e-16,-2.273736754432321e-13,2.273736754432321e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942019e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.3290705182007506e-15,0.0,0.0,1.1102230246251563e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.8421709430404014e-14,1.4210854715202004e-14,-3.469446951953614e-18,-0.6278220957736403,0.0,-2.2737367544323213e-08
1,2020-01-23,-1.1878167714027437,-0.6853246750727057,-1.5619613151715015,-2.9103830456733704e-11,2.220446049250313e-16,-2.273736754432321e-13,2.273736754432321e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942019e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.3290705182007506e-15,0.0,0.0,1.1102230246251563e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.8421709430404014e-14,1.4210854715202004e-14,-3.469446951953614e-18,-0.6278220957736403,0.0,-2.2737367544323213e-08
2,2020-01-24,-1.1879112847325914,-0.6853246750727057,-1.205844001854126,-2.9103830456733704e-11,2.220446049250313e-16,-2.273736754432321e-13,2.273736754432321e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942019e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.3290705182007506e-15,0.0,0.0,1.1102230246251563e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.8421709430404014e-14,1.4210854715202004e-14,-3.469446951953614e-18,-0.6278220957736403,0.0,-2.2737367544323213e-08
3,2020-01-25,-1.1879112847325914,-0.004785317502539,-0.910484376114567,-2.9103830456733704e-11,2.220446049250313e-16,-2.273736754432321e-13,2.273736754432321e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942019e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.3290705182007506e-15,0.0,0.0,1.1102230246251563e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.8421709430404014e-14,1.4210854715202004e-14,-3.469446951953614e-18,1.5928079096479393,0.0,-2.2737367544323213e-08
4,2020-01-26,-1.1879112847325914,4.58324650523699,-0.7643849655228233,-2.9103830456733704e-11,2.220446049250313e-16,-2.273736754432321e-13,2.273736754432321e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942019e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.3290705182007506e-15,0.0,0.0,1.1102230246251563e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.8421709430404014e-14,1.4210854715202004e-14,-3.469446951953614e-18,1.5928079096479393,0.0,-2.2737367544323213e-08
5,2020-01-27,-1.1878167714027437,-0.5847054693580357,-0.7868617979215531,-2.9103830456733704e-11,2.220446049250313e-16,-2.273736754432321e-13,2.273736754432321e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942019e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.3290705182007506e-15,0.0,0.0,1.1102230246251563e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.8421709430404014e-14,1.4210854715202004e-14,-3.469446951953614e-18,-0.6278220957736403,0.0,-2.2737367544323213e-08
6,2020-01-28,-1.1879112847325914,-0.6764865015977685,-0.8894123457407579,-2.9103830456733704e-11,2.220446049250313e-16,-2.273736754432321e-13,2.273736754432321e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942019e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.3290705182007506e-15,0.0,0.0,1.1102230246251563e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.8421709430404014e-14,1.4210854715202004e-14,-3.469446951953614e-18,-0.6278220957736403,0.0,-2.2737367544323213e-08
7,2020-01-29,-1.1878167714027437,-0.6815854478333091,-1.2376276476679549,-2.9103830456733704e-11,2.220446049250313e-16,-2.273736754432321e-13,2.273736754432321e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942019e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.3290705182007506e-15,0.0,0.0,1.1102230246251563e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.8421709430404014e-14,1.4210854715202004e-14,-3.469446951953614e-18,-0.6278220957736403,0.0,-2.2737367544323213e-08
8,2020-01-30,-1.1879112847325914,-0.6853246750727057,-1.5649465194744578,-2.9103830456733704e-11,2.220446049250313e-16,-2.273736754432321e-13,2.273736754432321e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942019e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.3290705182007506e-15,0.0,0.0,1.1102230246251563e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.8421709430404014e-14,1.4210854715202004e-14,-3.469446951953614e-18,-0.6278220957736403,0.0,-2.2737367544323213e-08
9,2020-01-31,-1.1879112847325914,-0.6645889603815067,-1.473634387854618,-2.9103830456733704e-11,2.220446049250313e-16,-2.273736754432321e-13,2.273736754432321e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942019e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.3290705182007506e-15,0.0,0.0,1.1102230246251563e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.8421709430404014e-14,1.4210854715202004e-14,-3.469446951953614e-18,-0.6278220957736403,0.0,-2.2737367544323213e-08
