Date,Year,Month,Monthly_Confirmed_Cases
2020-01-01,2020,1,0.0
2020-02-01,2020,2,0.0
2020-03-01,2020,3,23235.0
2020-04-01,2020,4,124506.0
2020-05-01,2020,5,144639.0
2020-06-01,2020,6,270121.0
2020-07-01,2020,7,698311.0
2020-08-01,2020,8,449765.0
2020-09-01,2020,9,180538.0
