Date,Year,Month,Monthly_Confirmed_Cases
2020-01-01,2020,1,2.0
2020-02-01,2020,2,0.0
2020-03-01,2020,3,18542.0
2020-04-01,2020,4,111167.0
2020-05-01,2020,5,120648.0
2020-06-01,2020,6,69425.0
2020-07-01,2020,7,129576.0
2020-08-01,2020,8,148854.0
2020-09-01,2020,9,90541.0
