Date,Year,Month,Monthly_Confirmed_Cases
2020-01-01,2020,1,1.0
2020-02-01,2020,2,7.0
2020-03-01,2020,3,6795.0
2020-04-01,2020,4,12820.0
2020-05-01,2020,5,10406.0
2020-06-01,2020,6,19657.0
2020-07-01,2020,7,51382.0
2020-08-01,2020,8,42582.0
2020-09-01,2020,9,15920.0
